排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
479,昆明学院,云南,22.5,28.2,96.95%,0,379,0.641,1,0,150,0,0.28%
479,内江师范学院,四川,22.5,23.8,93.50%,0,309,0.909,9,0,355,0,0.06%
479,天津农学院,天津,22.5,30.6,92.94%,0,396,0.610,1,0,4317,50,0.01%
479,仲恺农业工程学院,广东,22.5,29.9,95.86%,0,390,0.590,1,0,4920,0,0
485,贵州民族大学,贵州,22.4,25.0,95.12%,0,199,0.771,2,0,450,0,1.07%
485,黑龙江工程学院,黑龙江,22.4,31.3,,0,364,0.890,6,0,16592,6,0.05%
485,景德镇陶瓷大学,江西,22.4,21.9,87.08%,0,745,1.036,22,0,3512,1277,0.22%
485,许昌学院,河南,22.4,26.4,92.73%,0,558,0.782,7,0,1291,0,0
489,重庆第二师范学院,重庆,22.3,27.5,92.88%,0,263,0.730,1,0,200,0,0
489,内蒙古工业大学,内蒙古,22.3,32.2,90.46%,0,1434,0.450,2,0,63270,0,0.68%
489,钦州学院,广西,22.3,29.2,93.45%,0,148,0.630,0,0,4905,70,0.26%
489,泉州师范学院,福建,22.3,26.5,97.10%,2301,239,0.708,1,0,0,0,0.01%
493,北京联合大学,北京,22.2,32.6,,4830,751,0.629,9,0,4033,0,3.18%
493,重庆科技学院,重庆,22.2,31.4,92.12%,0,750,0.477,3,0,88100,100,0.12%
493,新疆师范大学,新疆,22.2,28.0,89.58%,0,404,0.553,1,0,1172,0,3.60%
496,衡阳师范学院,湖南,22.1,28.8,90.20%,0,461,0.670,3,0,335,0,0
496,荆楚理工学院,湖北,22.1,29.7,94.43%,0,132,0.567,0,0,752,0,0.03%
496,龙岩学院,福建,22.1,20.7,98.85%,0,230,0.923,2,0,1893,0,0.02%
496,山东工商学院,山东,22.1,26.7,96.97%,1251,319,0.641,2,0,542,0,0.65%
496,天津职业技术师范大学,天津,22.1,30.9,89.58%,0,535,0.535,3,0,10540,33,0.66%
496,邢台学院,河北,22.1,30.1,97.12%,0,100,0.510,0,0,0,0,0.01%
496,肇庆学院,广东,22.1,27.0,99.65%,1272,300,0.617,0,0,7846,500,0
503,湖南工程学院,湖南,22.0,29.7,91.58%,0,592,0.584,5,0,979,0,0
503,惠州学院,广东,22.0,30.1,96.42%,0,274,0.499,1,0,6372,0,0
503,湘南学院,湖南,22.0,28.2,90.69%,205,175,0.679,2,0,130,0,0.05%
506,鞍山师范学院,辽宁,21.9,28.7,90.13%,0,156,0.646,1,0,0,0,0.31%
506,淮阴工学院,江苏,21.9,35.0,,923,920,0.621,4,0,21585,5,0
506,洛阳师范学院,河南,21.9,31.4,,0,1112,0.781,16,0,0,5832,0
506,商丘师范学院,河南,21.9,26.6,94.09%,0,414,0.689,1,0,0,0,0
510,广西科技大学,广西,21.8,38.3,,0,165,0.482,1,0,6825,20,0.06%
511,安庆师范大学,安徽,21.7,24.6,89.37%,0,452,0.794,9,0,9450,3600,0
511,北华航天工业学院,河北,21.7,39.7,,0,107,0.410,0,0,4817,0,0
511,成都医学院,四川,21.7,33.7,,0,511,0.681,3,0,658,30,0
511,丽水学院,浙江,21.7,26.1,95.31%,71,440,0.645,7,0,2838,0,0
511,聊城大学,山东,21.7,25.8,,60,1679,0.984,21,1,5002,1150,0
511,南阳师范学院,河南,21.7,28.4,,0,930,0.903,14,0,0,0,0
517,乐山师范学院,四川,21.6,25.4,95.02%,0,237,0.673,2,0,767,0,0.29%
518,安徽中医药大学,安徽,21.5,32.6,,0,390,0.690,0,0,876,2259,0.16%
518,井冈山大学,江西,21.5,25.6,86.17%,0,557,0.660,3,0,52,160,2.52%
518,南昌工程学院,江西,21.5,27.0,88.27%,0,484,0.683,5,0,2590,0,0
521,韩山师范学院,广东,21.4,22.3,88.05%,0,280,0.901,4,0,945,0,0
521,合肥学院,安徽,21.4,28.7,97.31%,0,409,0.450,0,0,3372,50,0.30%
521,湖南城市学院,湖南,21.4,26.9,91.27%,682,575,0.620,2,0,13351,1086,0.03%
521,莆田学院,福建,21.4,25.4,99.20%,0,268,0.581,0,0,396,0,0
